latitude,longitude,depth,mag,gap,dmin,rms,horizontalError,depthError,magError,meter
0.8828,125.3597,75.67,5,28,2.009,1.3,7.5,5.8,0.06,89
4.3937,126.8816,34.21,4.4,140,3.63,1.3,11.7,7.9,0.117,21
4.1491,126.7053,47.43,4.9,96,3.11,1.12,6.2,6.1,0.065,74
0.3687,98.6231,50.62,4.9,115,1.4,0.69,7.3,7,0.059,90
-7.6668,127.9052,115.39,4,143,3.377,1.2,6.1,33.6,0.518,1
6.4947,126.7141,110.68,4.6,108,1.263,0.61,10,7.4,0.085,41
5.9504,117.7198,10,4.3,324,5.695,0.5,21.2,2,0.16,11
4.2248,127.553,10,4.4,84,3.435,1.22,5.6,1.9,0.123,19
6.7749,95.2613,214.8,4.7,119,2.273,1.08,8.6,7.7,0.078,50
3.6677,126.6369,46.1,4.4,74,2.967,1.12,8.9,8.1,0.089,36
-7.3245,120.0514,543.45,4.1,94,2.526,0.84,13.1,6.5,0.109,25
-1.2136,101.0692,149.82,4.3,105,1.529,1.03,8.6,7,0.101,29
-8.671,122.9003,111.76,4.3,74,0.656,1.02,8.5,7,0.116,21
-5.6368,102.6738,33.27,4.4,102,3.385,0.8,7.7,6.8,0.115,22
1.9603,120.9951,48.69,4.4,116,0.87,0.68,6.9,9.4,0.123,19
3.6352,126.8713,34.92,4.2,131,2.887,0.75,10.6,8.9,0.124,18
3.5302,126.4491,50.47,4.5,109,2.889,0.87,5.3,7.7,0.094,33
-10.2531,109.846,10,4.1,79,2.42,1.26,8.9,1.9,0.15,12
-5.8764,103.2125,39.9,4.5,168,1.527,1.28,6.5,9.2,0.113,23
4.0723,126.6019,55.9,4.3,119,3.146,0.85,8.5,8.6,0.106,25
2.09,127.1413,88.97,4.1,138,1.328,0.75,10.8,5.4,0.144,13
9.2662,125.2315,5.31,4.5,126,2.209,1.13,14.4,5.2,0.113,26
0.0418,123.451,138.81,4.4,50,1.272,1.01,6.7,6.6,0.08,49
